aid,trattato,w,subclass,campo,g_adopt,non_cs
5000000572,0,1,10729,"Economics, Econometrics and Finance",NA,1
5000004709,0,1,3735,Computer Science,NA,0
5000005424,1,1,1,Computer Science,2021,0
5000009381,1,1,2,Computer Science,2022,0
5000010870,0,1,4119,Earth and Planetary Sciences,NA,1
5000010949,1,1,3,Engineering,2020,1
5000019721,0,1,13508,"Biochemistry, Genetics and Molecular Biology",NA,1
5000020874,0,1,5247,Computer Science,NA,0
5000026575,1,1,4,Computer Science,2021,0
5000034551,1,1,5,Computer Science,2021,0
5000037110,1,1,6,Computer Science,2021,0
5000042874,1,1,7,Engineering,2021,1
5000048328,1,1,8,Psychology,2022,1
5000053244,0,1,11420,Computer Science,NA,0
5000056455,0,1,5839,Computer Science,NA,0
5000059818,0,1,8917,Computer Science,NA,0
5000063159,0,1,13219,Engineering,NA,1
5000067038,0,1,4751,Engineering,NA,1
5000068274,0,1,1376,Engineering,NA,1
5000068719,1,1,9,Computer Science,2021,0
5000070907,0,1,6208,Earth and Planetary Sciences,NA,1
5000074647,0,1,991,Earth and Planetary Sciences,NA,1
5000075012,1,1,10,Agricultural and Biological Sciences,2021,1
5000078266,0,1,6481,Physics and Astronomy,NA,1
5000078382,1,1,11,Computer Science,2021,0
5000079751,1,1,12,Computer Science,2021,0
5000080119,1,1,13,Computer Science,2021,0
5000080545,1,1,14,"Biochemistry, Genetics and Molecular Biology",2020,1
5000082032,1,1,15,Engineering,2022,1
5000083284,1,1,16,Computer Science,2020,0
5000085993,0,1,11920,Engineering,NA,1
5000087838,1,1,17,Engineering,2022,1
5000093992,1,1,18,Computer Science,2021,0
5000095574,1,1,19,Engineering,2020,1
5000097176,0,1,8838,Computer Science,NA,0
5000098516,0,1,3981,Computer Science,NA,0
5000100573,0,1,14825,Computer Science,NA,0
5000102767,1,1,20,Computer Science,2021,0
5000106586,1,1,21,Computer Science,2021,0
5000107965,0,1,5099,Physics and Astronomy,NA,1
5000110706,0,1,15772,Computer Science,NA,0
5000111344,1,1,22,Computer Science,2022,0
5000115067,1,1,23,Computer Science,2021,0
5000117252,0,1,8184,Computer Science,NA,0
5000121185,0,1,4955,Environmental Science,NA,1
5000121999,1,1,24,Computer Science,2021,0
5000122982,1,1,25,Medicine,2022,1
5000123568,1,1,26,Computer Science,2021,0
5000123743,0,1,12255,Computer Science,NA,0
5000126238,1,1,27,Computer Science,2020,0
5000127249,0,1,10483,Engineering,NA,1
5000128790,0,1,6003,"Business, Management and Accounting",NA,1
5000130543,0,1,3230,Earth and Planetary Sciences,NA,1
5000136854,1,1,28,Computer Science,2020,0
5000136889,0,1,10951,"Biochemistry, Genetics and Molecular Biology",NA,1
5000140462,0,1,4375,Materials Science,NA,1
5000141065,1,1,29,Computer Science,2020,0
5000141628,1,1,30,Computer Science,2020,0
5000141831,1,1,31,Engineering,2022,1
5000151104,0,1,5372,Engineering,NA,1
5000153296,0,1,15308,Engineering,NA,1
5000158009,0,1,161,Agricultural and Biological Sciences,NA,1
5000159619,0,1,12305,Earth and Planetary Sciences,NA,1
5000166436,0,1,14383,Medicine,NA,1
5000166596,1,1,32,Engineering,2022,1
5000171141,0,1,4503,Engineering,NA,1
5000171798,1,1,33,Computer Science,2020,0
5000172750,1,1,34,Medicine,2020,1
5000173125,0,1,10970,Computer Science,NA,0
5000174840,0,1,1325,Medicine,NA,1
5000176044,0,1,11416,Computer Science,NA,0
5000178744,1,1,35,Agricultural and Biological Sciences,2021,1
5000179526,0,1,14613,Computer Science,NA,0
5000185866,0,1,4170,Computer Science,NA,0
5000188805,1,1,36,Computer Science,2021,0
5000200647,0,1,3479,Agricultural and Biological Sciences,NA,1
5000200794,0,1,5816,Environmental Science,NA,1
5000202376,0,1,16200,Engineering,NA,1
5000212361,0,1,9717,Engineering,NA,1
5000213321,1,1,37,"Biochemistry, Genetics and Molecular Biology",2021,1
5000214180,1,1,38,Medicine,2022,1
5000215116,0,1,7291,Medicine,NA,1
5000215170,1,1,39,Computer Science,2021,0
5000215807,1,1,40,Computer Science,2022,0
5000217379,0,1,15285,Computer Science,NA,0
5000218612,0,1,15098,Computer Science,NA,0
5000223629,1,1,41,Medicine,2022,1
5000229374,1,1,42,Computer Science,2021,0
5000231774,0,1,1146,Computer Science,NA,0
5000232528,1,1,43,Computer Science,2021,0
5000235008,1,1,44,"Biochemistry, Genetics and Molecular Biology",2022,1
5000240220,0,1,2966,Computer Science,NA,0
5000241520,0,1,15991,Computer Science,NA,0
5000245557,0,1,921,"Business, Management and Accounting",NA,1
5000263913,1,1,45,Computer Science,2019,0
5000266144,0,1,6539,Engineering,NA,1
5000268884,0,1,15154,Psychology,NA,1
5000293904,0,1,305,Medicine,NA,1
5000294837,0,1,2497,Computer Science,NA,0
5000298412,1,1,46,Computer Science,2019,0
5000298644,0,1,15938,Engineering,NA,1
5000303933,0,1,12772,Computer Science,NA,0
5000312734,1,1,47,Computer Science,2020,0
5000314950,1,1,48,Medicine,2020,1
5000320100,0,1,7185,Computer Science,NA,0
5000320277,0,1,3357,Computer Science,NA,0
5000323469,1,1,49,Engineering,2022,1
5000327522,1,1,50,"Biochemistry, Genetics and Molecular Biology",2022,1
5000334344,1,1,51,Computer Science,2020,0
5000335949,0,1,6355,Computer Science,NA,0
5000337492,0,1,277,Medicine,NA,1
5000339878,1,1,52,Computer Science,2022,0
5000345038,1,1,53,Computer Science,2022,0
5000346235,0,1,8604,Computer Science,NA,0
5000349069,1,1,54,Engineering,2020,1
5000355426,0,1,10601,Engineering,NA,1
5000357955,1,1,55,Computer Science,2021,0
5000361724,1,1,56,Computer Science,2020,0
5000363531,0,1,11916,Engineering,NA,1
5000383993,1,1,57,Engineering,2022,1
5000400480,1,1,58,Medicine,2022,1
5000403961,0,1,14947,"Biochemistry, Genetics and Molecular Biology",NA,1
5000408509,1,1,59,Computer Science,2022,0
5000408865,1,1,60,Computer Science,2021,0
5000409439,1,1,61,Computer Science,2019,0
5000416532,1,1,62,Computer Science,2022,0
5000423121,0,1,15416,Computer Science,NA,0
5000424011,0,1,3856,Computer Science,NA,0
5000424567,1,1,63,Engineering,2021,1
5000425592,0,1,11941,Social Sciences,NA,1
5000430154,0,1,4180,Engineering,NA,1
5000436275,1,1,64,Computer Science,2022,0
5000437338,1,1,65,"Biochemistry, Genetics and Molecular Biology",2022,1
5000443091,0,1,11753,Psychology,NA,1
5000444026,1,1,66,Computer Science,2021,0
5000452220,1,1,67,Computer Science,2022,0
5000457976,0,1,9679,Engineering,NA,1
5000462606,0,1,13529,Engineering,NA,1
5000463539,0,1,12681,Computer Science,NA,0
5000465689,0,1,12093,Social Sciences,NA,1
5000468844,1,1,68,Physics and Astronomy,2020,1
5000475040,1,1,69,Computer Science,2021,0
5000475226,1,1,70,Engineering,2021,1
5000480991,0,1,8050,"Business, Management and Accounting",NA,1
5000483239,0,1,11365,Psychology,NA,1
5000489917,1,1,71,Computer Science,2020,0
5000490960,0,1,10326,Computer Science,NA,0
5000491132,1,1,72,Computer Science,2020,0
5000492580,1,1,73,Computer Science,2022,0
5000503591,1,1,74,Medicine,2021,1
5000506517,0,1,14764,Computer Science,NA,0
5000514685,0,1,8559,Engineering,NA,1
5000517454,0,1,10622,Computer Science,NA,0
5000521910,0,1,14783,Social Sciences,NA,1
5000523744,0,1,6805,Computer Science,NA,0
5000525449,0,1,16629,Computer Science,NA,0
5000527265,1,1,75,Computer Science,2021,0
5000528488,0,1,8845,Computer Science,NA,0
5000530309,1,1,76,Computer Science,2020,0
5000531950,1,1,77,Engineering,2020,1
5000537746,1,1,78,Computer Science,2020,0
5000546219,0,1,9677,Computer Science,NA,0
5000548221,0,1,10708,Computer Science,NA,0
5000556967,1,1,79,Computer Science,2020,0
5000560558,1,1,80,Engineering,2022,1
5000563326,0,1,8947,Medicine,NA,1
5000564739,1,1,81,Computer Science,2022,0
5000566520,0,1,8470,Computer Science,NA,0
5000573728,0,1,14925,Earth and Planetary Sciences,NA,1
5000578217,0,1,1608,Agricultural and Biological Sciences,NA,1
5000581548,0,1,8177,Earth and Planetary Sciences,NA,1
5000586279,0,1,7623,Earth and Planetary Sciences,NA,1
5000588825,0,1,9488,Engineering,NA,1
5000593660,0,1,15893,Medicine,NA,1
5000602137,0,1,7216,Computer Science,NA,0
5000611071,0,1,16442,Engineering,NA,1
5000613715,0,1,5617,Computer Science,NA,0
5000615413,1,1,82,Computer Science,2022,0
5000617157,1,1,83,Computer Science,2020,0
5000629645,1,1,84,Engineering,2022,1
5000639282,0,1,3870,Earth and Planetary Sciences,NA,1
5000640263,1,1,85,Computer Science,2022,0
5000643470,0,1,5394,Computer Science,NA,0
5000646779,0,1,9479,Engineering,NA,1
5000649835,1,1,86,Engineering,2022,1
5000658598,1,1,87,Computer Science,2019,0
5000660681,0,1,83,Computer Science,NA,0
5000677611,1,1,88,Computer Science,2021,0
5000678784,0,1,995,"Economics, Econometrics and Finance",NA,1
5000682608,0,1,11025,Engineering,NA,1
5000683013,1,1,89,Medicine,2021,1
5000683692,1,1,90,Computer Science,2020,0
5000684736,1,1,91,Computer Science,2021,0
5000688713,1,1,92,Computer Science,2022,0
5000690288,0,1,706,Computer Science,NA,0
5000692949,1,1,93,Computer Science,2022,0
5000695937,1,1,94,Computer Science,2022,0
5000701583,0,1,743,Engineering,NA,1
5000707725,0,1,16285,Engineering,NA,1
5000707990,1,1,95,Agricultural and Biological Sciences,2020,1
5000711130,0,1,15063,Engineering,NA,1
5000729900,0,1,16531,Engineering,NA,1
5000730473,1,1,96,Engineering,2020,1
5000731827,1,1,97,Computer Science,2022,0
5000732219,0,1,13180,Engineering,NA,1
5000734023,0,1,4899,Computer Science,NA,0
5000742553,0,1,2658,Computer Science,NA,0
5000746866,0,1,6509,Medicine,NA,1
5000753987,1,1,98,Computer Science,2019,0
5000755750,1,1,99,Computer Science,2021,0
5000756601,1,1,100,Computer Science,2022,0
5000761707,0,1,311,Computer Science,NA,0
5000771881,0,1,15377,Computer Science,NA,0
5000772591,0,1,4740,Computer Science,NA,0
5000777798,1,1,101,Engineering,2021,1
5000786633,0,1,8560,Computer Science,NA,0
5000798681,0,1,10287,Computer Science,NA,0
5000798976,0,1,5288,Neuroscience,NA,1
5000802351,1,1,102,Computer Science,2022,0
5000806404,0,1,6284,Computer Science,NA,0
5000807861,0,1,4680,"Biochemistry, Genetics and Molecular Biology",NA,1
5000811147,1,1,103,Computer Science,2022,0
5000812814,1,1,104,Computer Science,2022,0
5000815556,0,1,8813,Physics and Astronomy,NA,1
5000819439,1,1,105,Computer Science,2022,0
5000822269,1,1,106,Computer Science,2020,0
5000824687,0,1,4828,Engineering,NA,1
5000830883,1,1,107,Engineering,2022,1
5000831279,1,1,108,Medicine,2021,1
5000839824,1,1,109,Computer Science,2021,0
5000850685,1,1,110,Medicine,2019,1
5000851163,1,1,111,Computer Science,2022,0
5000852147,0,1,5728,Computer Science,NA,0
5000856830,0,1,4344,Computer Science,NA,0
5000858657,0,1,6388,Agricultural and Biological Sciences,NA,1
5000861569,0,1,2751,Engineering,NA,1
5000861946,0,1,3083,Energy,NA,1
5000865963,0,1,3609,"Business, Management and Accounting",NA,1
5000867705,0,1,9400,Engineering,NA,1
5000867822,0,1,5794,Computer Science,NA,0
5000872203,1,1,112,Computer Science,2022,0
5000874697,1,1,113,Computer Science,2019,0
5000875504,0,1,12851,Computer Science,NA,0
5000881869,1,1,114,Computer Science,2021,0
5000882682,1,1,115,Computer Science,2022,0
5000884623,0,1,5445,Psychology,NA,1
5000885481,0,1,3042,Computer Science,NA,0
5000885751,0,1,13748,Materials Science,NA,1
5000893884,0,1,4320,Engineering,NA,1
5000905065,1,1,116,Computer Science,2022,0
5000905974,0,1,397,Computer Science,NA,0
5000911580,0,1,9036,Engineering,NA,1
5000916925,1,1,117,Computer Science,2021,0
5000920875,0,1,4387,Psychology,NA,1
5000922082,0,1,8841,Computer Science,NA,0
5000929109,0,1,3653,Engineering,NA,1
5000933827,1,1,118,"Business, Management and Accounting",2022,1
5000935789,0,1,6243,Physics and Astronomy,NA,1
5000936064,0,1,5014,Social Sciences,NA,1
5000936680,1,1,119,Computer Science,2022,0
5000942192,1,1,120,Computer Science,2021,0
5000942708,1,1,121,Computer Science,2021,0
5000943271,1,1,122,"Biochemistry, Genetics and Molecular Biology",2022,1
5000944221,0,1,854,Medicine,NA,1
5000946739,0,1,5493,Computer Science,NA,0
5000947559,1,1,123,"Biochemistry, Genetics and Molecular Biology",2021,1
5000949326,0,1,16335,Computer Science,NA,0
5000952211,0,1,5851,Computer Science,NA,0
5000956530,0,1,9776,Engineering,NA,1
5000959052,1,1,124,Computer Science,2019,0
5000959775,1,1,125,Computer Science,2019,0
5000962676,0,1,7903,Physics and Astronomy,NA,1
