campo,anno,n_abs,n_parole,marc_per10k,ctrl_per10k,rapporto
Medicine,2018,1414,310668,0.8369062793721915,205.52486899197856,0.0040720438527799534
Medicine,2019,1409,310213,0.7414260524220455,205.11712919832502,0.003614647179003615
Medicine,2020,1417,314966,0.7302375494497819,209.95917019614816,0.00347799788295781
Medicine,2021,1423,323389,0.7421402706956637,206.50053032106842,0.0035938903863432167
Medicine,2022,1441,325152,0.7996260210609192,217.12921956500344,0.0036827195467422098
Medicine,2023,1445,341821,1.5212640534080704,218.3599018199584,0.006966773847802787
Medicine,2024,1447,349509,2.6322641190927842,217.67679802236853,0.012092534174553101
Engineering,2018,1368,184939,0.3785031821303241,196.6053671751226,0.0019251925192519251
Engineering,2019,1369,185372,0.7552381157887923,197.71054959756597,0.003819918144611187
Engineering,2020,1385,204875,0.8297742525930445,202.75777913361807,0.004092441020702937
Engineering,2021,1406,214281,1.0733569471861715,209.86461702157447,0.005114520791638871
Engineering,2022,1407,240730,0.7061853528849749,221.1190960827483,0.0031936877700544804
Engineering,2023,1407,226137,1.813060224554142,226.98629591796123,0.007987531657899864
Engineering,2024,1398,238379,5.1598504901857964,225.94272146455853,0.02283698477534348
Computer Science,2018,1398,239520,0.542752171008684,195.64128256513027,0.002774221084080239
Computer Science,2019,1398,242645,1.0715242432360033,204.49628057450184,0.005239822652156389
Computer Science,2020,1405,250549,1.1175458692710807,203.79247173207636,0.005483744614179397
Computer Science,2021,1433,261700,0.573175391669851,213.41230416507452,0.0026857654431512983
Computer Science,2022,1443,273703,0.7307190640950227,219.28879113491632,0.003332222592469177
Computer Science,2023,1447,267170,2.5826252947561477,227.08387917805143,0.011373001483434977
Computer Science,2024,387,72855,7.274723766385286,231.96760689039874,0.031360946745562134
"Biochemistry, Genetics and Molecular Biology",2018,1411,293074,1.1942376328162854,182.0359363164252,0.006560449859418931
"Biochemistry, Genetics and Molecular Biology",2019,1431,296095,1.1820530572958003,181.05675543322243,0.006528632717776534
"Biochemistry, Genetics and Molecular Biology",2020,1438,298835,1.2716047317081332,186.29009319524152,0.006825938566552901
"Biochemistry, Genetics and Molecular Biology",2021,1448,307095,1.8235399469219622,197.4633256809782,0.009234828496042216
"Biochemistry, Genetics and Molecular Biology",2022,1442,304672,0.9518432937716627,191.87847915134964,0.0049606568593910366
"Biochemistry, Genetics and Molecular Biology",2023,1451,303188,3.1663522302993523,192.38888082641793,0.0164580833190468
"Biochemistry, Genetics and Molecular Biology",2024,1462,319510,6.071797439829739,197.58380019404714,0.03073023918897513
Social Sciences,2018,1326,247741,0.9687536580541776,107.49129130826145,0.009012392039053699
Social Sciences,2019,1340,242700,1.277297074577668,119.200659250103,0.010715520221223643
Social Sciences,2020,1380,266804,1.1244209232245395,124.92316457024633,0.009000900090009001
Social Sciences,2021,1396,253967,1.1418806380356503,127.96938184882288,0.008923076923076922
Social Sciences,2022,1401,272772,1.3931048641356152,145.76276157376856,0.009557344064386318
Social Sciences,2023,1420,277734,2.37637451662382,149.38754347685196,0.015907447577729574
Social Sciences,2024,1424,284797,4.564654824313458,142.5927941656689,0.032011819748830335
Agricultural and Biological Sciences,2018,1410,280137,0.3569681977032666,162.20634903636434,0.0022007042253521128
