fid,year,n,q90,q99,media,quota90,quota99,field
11,2012,32401,12,40,4.313755748279374,0.10413258850035492,0.010308323817166136,Agricultural and Biological Sciences
11,2013,32555,12,41,4.417631700199662,0.10388573183842728,0.010013822761480572,Agricultural and Biological Sciences
11,2014,33622,12,40,4.5171613824281724,0.10731068942954018,0.010231396109690084,Agricultural and Biological Sciences
11,2015,34478,12,39,4.654359301583619,0.11363768200011602,0.010354428911189744,Agricultural and Biological Sciences
11,2016,36377,13,39,4.80138549083212,0.10602853451356627,0.010308711548505925,Agricultural and Biological Sciences
11,2017,36783,15,46,5.7849821928608325,0.1056738167088057,0.010222113476334177,Agricultural and Biological Sciences
11,2018,39101,17,53,6.801744200915578,0.1089741950333751,0.010306641773867677,Agricultural and Biological Sciences
11,2019,42153,20,60,8.134984461366924,0.1067065214812706,0.010129765378502123,Agricultural and Biological Sciences
11,2020,45195,24,67,9.65688682376369,0.10111738024117713,0.010089611682708265,Agricultural and Biological Sciences
11,2021,46799,23,68,9.578217483279557,0.10292954977670463,0.010149789525417209,Agricultural and Biological Sciences
11,2022,50321,23,63,9.650960831462013,0.10061405774924982,0.010274040658969417,Agricultural and Biological Sciences
11,2023,49926,15,44,6.397428193726715,0.11136481993350159,0.010595681608780995,Agricultural and Biological Sciences
11,2024,56646,5,17,2.0089856300533135,0.13054761148183455,0.01068036578046111,Agricultural and Biological Sciences
12,2012,5734,3,16,1.1049877921171958,0.11893965817928148,0.011335891175444715,Arts and Humanities
12,2013,5563,4,20,1.4209958655401762,0.10533884594643178,0.010426029120977889,Arts and Humanities
12,2014,5428,4,18,1.2730287398673545,0.10353721444362564,0.010132645541635961,Arts and Humanities
12,2015,5742,4,20,1.3568443051201673,0.11337513061650993,0.01027516544757924,Arts and Humanities
12,2016,6095,4,21,1.454306808859721,0.11271534044298605,0.010008203445447087,Arts and Humanities
12,2017,5873,5,24,1.7643453090413759,0.10675974799931892,0.010897326749531755,Arts and Humanities
12,2018,6001,5,26,1.914347608731878,0.10998166972171305,0.010664889185135812,Arts and Humanities
12,2019,6036,6,25,2.1762756792577864,0.10139165009940358,0.010934393638170975,Arts and Humanities
12,2020,5840,7,30,2.536301369863014,0.10976027397260274,0.010445205479452055,Arts and Humanities
12,2021,5319,8,33,2.984395563075766,0.10904305320548975,0.010340289528106787,Arts and Humanities
12,2022,4763,9,33,3.383581776191476,0.10875498635313878,0.010077682133109386,Arts and Humanities
12,2023,4842,5,20,1.9940107393638993,0.13217678645187939,0.011152416356877323,Arts and Humanities
12,2024,5695,2,8,0.6526777875329236,0.1222124670763828,0.01106233538191396,Arts and Humanities
13,2012,79012,20,81,8.767491014023186,0.10632562142459373,0.01018832582392548,"Biochemistry, Genetics and Molecular Biology"
13,2013,80501,20,77,8.826474205289376,0.10763841442963441,0.010223475484776586,"Biochemistry, Genetics and Molecular Biology"
13,2014,82949,20,79,8.572267296772715,0.10273782685746663,0.010078481958793958,"Biochemistry, Genetics and Molecular Biology"
13,2015,86453,20,80,8.659514418238812,0.10286514059662476,0.010097972308653256,"Biochemistry, Genetics and Molecular Biology"
13,2016,88389,20,78,8.56711808030411,0.10081571236239803,0.010035185373745602,"Biochemistry, Genetics and Molecular Biology"
13,2017,89511,21,83,9.482990917317425,0.10650087698718594,0.010222207326473842,"Biochemistry, Genetics and Molecular Biology"
13,2018,91461,24,90,10.75589595565323,0.10488623566328818,0.010146401198324969,"Biochemistry, Genetics and Molecular Biology"
13,2019,98071,26,96,11.55100896289423,0.1047710332310265,0.010043743818254122,"Biochemistry, Genetics and Molecular Biology"
13,2020,98890,26,96,12.106512286378805,0.10427748002831429,0.010021235716452625,"Biochemistry, Genetics and Molecular Biology"
13,2021,100306,24,91,11.56336609973481,0.1057563854604909,0.010079157777201763,"Biochemistry, Genetics and Molecular Biology"
13,2022,101088,23,83,10.616452991452991,0.10446343779677113,0.010001187084520418,"Biochemistry, Genetics and Molecular Biology"
13,2023,97045,16,56,6.996115204286671,0.10414756041011902,0.010283888917512495,"Biochemistry, Genetics and Molecular Biology"
13,2024,104960,6,21,2.3252762957317072,0.10875571646341463,0.010308689024390244,"Biochemistry, Genetics and Molecular Biology"
14,2012,14563,7,30,2.463709400535604,0.10512943761587586,0.010437409874339078,"Business, Management and Accounting"
14,2013,13842,8,31,2.678297933824592,0.10099696575639358,0.010547608727062563,"Business, Management and Accounting"
14,2014,14035,8,32,2.8105450659066618,0.10630566441040257,0.010117563234770217,"Business, Management and Accounting"
14,2015,14236,8,31,2.8837454341107054,0.10937060972183198,0.010817645406012925,"Business, Management and Accounting"
14,2016,14697,9,39,3.451860923998095,0.11192760427298087,0.010138123426549637,"Business, Management and Accounting"
14,2017,15772,11,46,4.242137966015724,0.10822977428354046,0.010207963479584073,"Business, Management and Accounting"
14,2018,16520,14,51,4.846912832929782,0.10072639225181598,0.010169491525423728,"Business, Management and Accounting"
14,2019,17433,16,60,6.101990477829404,0.1070957379682212,0.010325245224574084,"Business, Management and Accounting"
14,2020,18065,20,82,7.825463603653474,0.1058953778023803,0.010185441461389427,"Business, Management and Accounting"
14,2021,18003,22,80,8.275954007665389,0.10253846581125368,0.01016497250458257,"Business, Management and Accounting"
14,2022,17550,23,85,8.814017094017094,0.10347578347578347,0.010199430199430199,"Business, Management and Accounting"
14,2023,19025,14,52,5.217503285151117,0.10691195795006571,0.010039421813403417,"Business, Management and Accounting"
14,2024,21157,4,18,1.4825353310960911,0.11901498322068346,0.01016212128373588,"Business, Management and Accounting"
15,2012,3908,15,40,5.758188331627431,0.10823950870010235,0.010747185261003071,Chemical Engineering
15,2013,4026,16,43,6.286636860407352,0.10655737704918032,0.01018380526577248,Chemical Engineering
15,2014,4204,17,51,6.643910561370124,0.10133206470028544,0.010228353948620362,Chemical Engineering
15,2015,4057,18,55,7.460931722947991,0.10796154794182894,0.0101059896475228,Chemical Engineering
15,2016,4532,19,55,7.664165931156222,0.10481023830538394,0.010150044130626656,Chemical Engineering
15,2017,4525,21,62,8.907403314917127,0.10342541436464088,0.010386740331491713,Chemical Engineering
15,2018,5010,26,111,11.737924151696607,0.10079840319361277,0.010179640718562874,Chemical Engineering
15,2019,5365,28,105,12.821248835041938,0.10475302889095993,0.010251630941286114,Chemical Engineering
15,2020,5685,33,106,14.1584872471416,0.10659630606860158,0.010026385224274407,Chemical Engineering
15,2021,5695,33,113,14.3729587357331,0.10114135206321334,0.010359964881474977,Chemical Engineering
15,2022,6402,35,115,14.768666041861918,0.1007497656982193,0.010465479537644486,Chemical Engineering
15,2023,6194,26,95,11.211333548595414,0.10219567323216015,0.010009686793671296,Chemical Engineering
15,2024,7821,9,34,3.5911008822401227,0.10676384094105613,0.010740314537782892,Chemical Engineering
16,2012,25233,19,59,7.214877343161732,0.10264336384892798,0.010224705742480085,Chemistry
16,2013,25698,19,62,7.501906763172231,0.10635068876955404,0.010351000077827069,Chemistry
16,2014,26446,20,61,7.704454359827573,0.1008848219012327,0.010247296377524012,Chemistry
16,2015,26304,20,62,7.903208637469587,0.1014294403892944,0.010112530413625304,Chemistry
16,2016,26277,20,66,8.174943867260343,0.10678540168207938,0.010313201659245728,Chemistry
16,2017,24073,24,74,9.82125202509035,0.10085988451792464,0.010094296514767582,Chemistry
16,2018,24373,25,77,10.527550978541829,0.10084930045542198,0.010216222869568786,Chemistry
16,2019,25731,26,80,11.133729742334149,0.10430997629318721,0.010221134040651354,Chemistry
16,2020,25326,28,83,11.92181947405828,0.10025270473031667,0.010266129669114743,Chemistry
16,2021,25001,27,80,11.404863805447782,0.10047598096076157,0.010279588816447341,Chemistry
16,2022,25930,25,75,10.773582722715002,0.10667180871577324,0.010104126494408021,Chemistry
16,2023,25247,18,55,7.731809719966729,0.10377470590565216,0.010258644591436607,Chemistry
16,2024,28156,7,23,2.616671402187811,0.10654922574229293,0.010654922574229293,Chemistry
17,2012,109576,10,39,3.805723881141856,0.10010403738044828,0.010230342410746879,Computer Science
17,2013,108589,10,42,4.07320262641704,0.11008481522069455,0.01043383768153312,Computer Science
17,2014,108908,11,45,4.580076762037683,0.10541925294744188,0.010118632240055827,Computer Science
17,2015,107746,12,52,5.017216416386687,0.10097822656989587,0.010069979395986858,Computer Science
17,2016,112908,13,59,5.718248485492613,0.10038261239239027,0.01022956743543416,Computer Science
17,2017,114593,16,84,7.721902734023893,0.10365380084298342,0.01014896197848036,Computer Science
17,2018,125899,19,99,8.46374474777401,0.10099365364299955,0.010008022303592563,Computer Science
17,2019,138926,22,112,9.970423102946892,0.10088824266156084,0.010048515036782172,Computer Science
17,2020,141626,23,104,10.079907644076652,0.10266476494428989,0.010188807139931933,Computer Science
17,2021,152289,22,93,9.521265488643303,0.10414409445199588,0.010000722310869466,Computer Science
17,2022,148407,21,85,8.896561482948918,0.10019743004036198,0.010093863497004859,Computer Science
17,2023,164115,12,52,5.128946165798373,0.10410382963166073,0.010218444383511561,Computer Science
17,2024,170251,3,15,1.3121802515110044,0.13468349671954938,0.011236351034648841,Computer Science
